Date,BlackRock,Delta.Air.Lines,Expedia.Inc.,Lockheed.Martin.Corp.,Nvidia.Corporation,CBS.Corp.,Hasbro.Inc.,Macy.s.Inc.,CVS.Caremark.Corp.,Halliburton.Co.,Moody.s.Corp,CIGNA.Corp.,Honeywell.Int.l.Inc.,Adobe.Systems.Inc,Texas.Instruments,FMC.Corporation,Entergy.Corp.
28-02-2014,0.833215662,1.253680635,-0.318276617,-0.187197986,0.025765362,0.144348956,0.475028875,1.824543878,0.326882088,0.368618847,0.067789056,0.263165194,0.308405011,0.456492292,0.340375873,1.307587479,-0.214609742
03-03-2014,0.674195059,1.153711925,-0.339649875,-0.583149523,-0.340756853,0.073200651,0.300773974,2.722295956,0.348021397,-0.275655642,0.130399979,-0.45887659,0.357270969,0.568702374,0.299642675,1.404526065,-0.143455264
,,,,,,,,,,,,,,,,,
cluster-1,1.45791619,2.441410483,0.108522603,0.752324678,0.286565499,0.735003644,0.033129905,3.302517711,0.97049534,4.075504543,0.001881817,4.79697045,0.083474248,5.281539321,0.000419898,0.163264385,0.114037312
,4.161510801,9.359825379,4.293871723,1.980957193,0.01105817,2.856468901,1.636491802,11.22116374,1.229422756,0.365333287,0.322296984,0.720967287,1.474579712,2.759259878,1.231614412,4.091363168,0.395282857
,,,,,,,,,,,,,,,,,
cluster-2,1.104013878,2.585816121,0.169909656,0.864792842,0.223822135,0.770806759,0.018741533,3.907587626,0.982518583,4.163814709,0.00490503,4.927108845,0.055824636,5.330833922,0.01462451,0.057270563,0.141406946
,3.985938259,9.824328391,4.27006686,2.114570176,0.020263866,2.688619359,1.532751808,11.76845941,1.228256905,0.319445437,0.30958407,0.623820456,1.375959267,2.746868276,1.056342831,4.351338566,0.351067773
,,,,,,,,,,,,,,,,,
cluster-3,1.429150789,2.704607304,0.057756826,0.569259115,0.43775064,0.565135726,0.01385133,3.176790946,1.10232518,4.062290968,0.000548768,4.769975203,0.028669345,6.006807089,1.96795E-05,0.008512943,0.127050877
,4.49841993,9.601140648,4.49357624,1.568690649,0.030507286,2.830093598,1.603528524,10.19478162,1.372567673,0.471553807,0.362758153,0.777986172,1.724344158,2.753220998,1.330851432,3.460812061,0.489072572
,,,,,,,,,,,,,,,,,
cluster-4,1.016044209,2.976385507,0.166891642,0.663022433,0.323793283,0.634557363,0.013834349,4.331277736,1.102670864,3.904113146,0.008346642,4.441341321,0.074089217,5.508673235,0.004209868,0.019777889,0.121803835
,3.924227238,8.775001393,4.251331699,1.702443665,0.01309197,2.901373819,1.378831454,9.906761308,1.082029048,0.260912365,0.213745444,0.62380091,1.225412144,2.687065158,1.053746348,3.138768803,0.343336574
,,,,,,,,,,,,,,,,,
cluster-5,1.770214188,2.44509877,0.084411124,1.003702237,0.329785213,0.381688417,0.002820116,2.970078022,0.968181386,4.634911331,0.025399592,5.321825903,0.055298624,4.664291063,0.011125834,0.032444997,0.10001815
,4.226485216,9.206136818,4.526470085,1.930333998,0.022912453,3.228586672,1.743315662,9.967546604,1.34764185,0.496520474,0.490270074,0.968855553,1.895759187,2.571993921,1.337010902,3.819604428,0.546433131
,,,,,,,,,,,,,,,,,
cluster-6,1.325763887,2.511934637,0.041483123,0.514206717,0.460576715,0.755782735,0.057292254,3.328960363,1.026184939,3.723475113,0.005104941,3.943556541,0.054890915,5.457534972,0.003597996,0.010528754,0.095248722
,4.705042029,9.339906794,4.187277457,1.815593671,0.022902639,3.191968393,1.522729311,9.852231345,1.2226051,0.31132339,0.316550753,0.620597956,1.601489811,2.901542398,1.327189161,3.315579451,0.503971298
,,,,,,,,,,,,,,,,,
,1.016044209,2.441410483,0.041483123,0.514206717,0.223822135,0.381688417,0.002820116,2.970078022,0.968181386,3.723475113,0.000548768,3.943556541,0.028669345,4.664291063,1.96795E-05,0.008512943,0.095248722
,3.924227238,8.775001393,4.187277457,1.568690649,0.01105817,2.688619359,1.378831454,9.852231345,1.082029048,0.260912365,0.213745444,0.620597956,1.225412144,2.571993921,1.053746348,3.138768803,0.343336574
